id,celltype,biosampletype,ctrltype,lab
ENCFF000BNO,myotube,in vitro differentiated cells,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000WNQ,GM18951,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000OSS,H1-hESC,stem cell,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000CMD,keratinocyte,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000RJY,T47D,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001EXL,GM12875,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000WMA,GM18526,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000PPF,HepG2,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HHU,GM12875,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000OXQ,neural cell,in vitro differentiated cells,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002EHW,neural cell,in vitro differentiated cells,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002BAA,Oci-Ly-7,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001HHJ,GM12874,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF001HLJ,cardiac muscle cell,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000VWK,GM12878,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ODO,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000BHE,mammary epithelial cell,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002EFD,K562,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002AVJ,Oci-Ly-7,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001HBT,GM12801,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002BGA,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HPI,HL-60,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000RGI,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002EFH,K562,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ZIJ,MCF 10A,immortalized cell line,Control (Homo sapiens),"Kevin Struhl, HMS"
ENCFF002EHJ,GM12878,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
